,province,district,ur2012,weight,Consumption,s1q1,s1q3y,s1q13,s1q14,s3q4,s4aq6a,s4aq6b,s4aq8,s4aq9,s4aq11h,s4aq12,s4aq14,s4aq15,s4aq17,s4bq3,s4bq4,s4bq5,s6aq2
2362,Kigali City,Kicukiro,Urban,4.807407407,86816.14063,Male,18,"Yes,but residing in onother household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
2363,Kigali City,Kicukiro,Urban,4.807407407,86816.14063,Male,11,"Yes,but residing in onother household",Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Mother,7,Holidays,,No,,No,No
2364,Kigali City,Kicukiro,Urban,4.807407407,86816.14063,Male,7,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,7,Holidays,,,,,No
2373,Kigali City,Kicukiro,Urban,4.807407407,222897.9219,Male,13,"Yes,but residing in onother household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
2374,Kigali City,Kicukiro,Urban,4.807407407,222897.9219,Male,12,"Yes,but residing in onother household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
2375,Kigali City,Kicukiro,Urban,4.807407407,222897.9219,Male,9,"Yes,but residing in onother household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,7,Holidays,,,,,No
2376,Kigali City,Kicukiro,Urban,4.807407407,222897.9219,Male,17,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Not in class,,,,,,,Cost,Yes,Yes,Yes,No
2378,Kigali City,Kicukiro,Urban,4.807407407,88650.94531,Male,17,No,Yes and resident in household,Yes,Post primary 4,Post primary 5,Public,No problem,,Mother,1,Family circumstances,,Yes,Yes,Yes,No
2379,Kigali City,Kicukiro,Urban,4.807407407,88650.94531,Female,15,No,Yes and resident in household,No,"Primary 6,7,8",Secondary 1,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
2380,Kigali City,Kicukiro,Urban,4.807407407,88650.94531,Female,10,No,Yes and resident in household,No,Primary 3,Primary 4,Private,Don't know,,Mother,3,Holidays,,Yes,Yes,Yes,No
2381,Kigali City,Kicukiro,Urban,4.807407407,88650.94531,Female,10,No,No,No,Primary 3,Primary 3,Public,No problem,,Other household members,7,Holidays,,Yes,No,Yes,No
2384,Kigali City,Kicukiro,Urban,4.807407407,109768.6563,Female,9,"Yes,but residing in onother household",No,No,Primary 2,Primary 2,Public,No problem,,Other household members,7,Holidays,,,,,No
2388,Kigali City,Kicukiro,Urban,4.807407407,420680.2813,Female,18,"Yes,and residing in the household",Yes and resident in household,No,Secondary 2,Secondary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
2389,Kigali City,Kicukiro,Urban,4.807407407,420680.2813,Male,18,"Yes,and residing in the household",Yes and resident in household,No,Secondary 2,Secondary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
2390,Kigali City,Kicukiro,Urban,4.807407407,420680.2813,Female,16,"Yes,and residing in the household",Yes and resident in household,No,"Primary 6,7,8","Primary 6,7,8",Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
2391,Kigali City,Kicukiro,Urban,4.807407407,420680.2813,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
2392,Kigali City,Kicukiro,Urban,4.807407407,420680.2813,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,,,,No,,No,No
2393,Kigali City,Kicukiro,Urban,4.807407407,420680.2813,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,,,,No
2394,Kigali City,Kicukiro,Urban,4.807407407,420680.2813,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
2401,Kigali City,Kicukiro,Urban,4.807407407,220010.4219,Male,16,"Yes,but residing in onother household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,No problem,98200,Mother,7,Holidays,,Yes,Yes,Yes,No
2402,Kigali City,Kicukiro,Urban,4.807407407,220010.4219,Male,11,"Yes,but residing in onother household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,7,Holidays,,Yes,Yes,Yes,No
2407,Kigali City,Kicukiro,Urban,3.459876543,231447.5,Male,16,"Yes,but residing in onother household",Yes and resident in household,No,Primary 5,Primary 5,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
2408,Kigali City,Kicukiro,Urban,3.459876543,231447.5,Female,11,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 5,Primary 5,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
2411,Kigali City,Kicukiro,Urban,3.459876543,167321.25,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
2412,Kigali City,Kicukiro,Urban,3.459876543,167321.25,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,18000,Mother,,,,Yes,Yes,Yes,No
2413,Kigali City,Kicukiro,Urban,3.459876543,167321.25,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,7000,Mother,,,,,,,No
2414,Kigali City,Kicukiro,Urban,3.459876543,167321.25,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,7000,Mother,,,,,,,No
2428,Kigali City,Kicukiro,Urban,3.459876543,354571.4375,Male,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,18650,Father,5,Financial Reasons,,Yes,Yes,Yes,No
2432,Kigali City,Kicukiro,Urban,3.459876543,484136.4688,Female,9,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 3,Primary 4,Private,Not enough teachers,,Both parents,,,,,,,No
2433,Kigali City,Kicukiro,Urban,3.459876543,484136.4688,Female,7,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Private,Not enough teachers,,Both parents,,,,,,,No
2435,Kigali City,Kicukiro,Urban,3.459876543,484136.4688,Female,17,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Primary 5,Public,No problem,,Both parents,7,Dropped out,Lack of interest,Yes,Yes,Yes,No
2438,Kigali City,Kicukiro,Urban,3.459876543,250296.3594,Female,16,"Yes,and residing in the household",Yes and resident in household,Yes,Secondary 3,Secondary 4,Public,No problem,308900,Mother,,,,Yes,Yes,Yes,No
2439,Kigali City,Kicukiro,Urban,3.459876543,250296.3594,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Secondary 2,Secondary 3,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
2440,Kigali City,Kicukiro,Urban,3.459876543,250296.3594,Female,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Mother,,,,Yes,Yes,Yes,No
2441,Kigali City,Kicukiro,Urban,3.459876543,250296.3594,Female,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
2442,Kigali City,Kicukiro,Urban,3.459876543,250296.3594,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,,,,,,,No
2453,Southern Province,Nyanza,Rural,91.44994426,203109.4063,Female,9,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Primary 1,Public,No problem,,Other household members,,,,,,,No
2461,Southern Province,Nyanza,Rural,91.44994426,339828.6875,Female,17,"Yes,and residing in the household",Yes but residing in another household,Yes,Primary 4,Primary 5,Public,No problem,,Father,5,Dropped out,Lack of interest,Yes,Yes,Yes,No
2462,Southern Province,Nyanza,Rural,91.44994426,339828.6875,Female,13,"Yes,and residing in the household",Yes but residing in another household,Yes,Primary 1,Primary 1,Public,No problem,,Father,,,,No,,No,No
2463,Southern Province,Nyanza,Rural,91.44994426,339828.6875,Female,12,"Yes,and residing in the household",Yes but residing in another household,Yes,Primary 2,Primary 3,Public,No problem,,Father,,,,Yes,Yes,Yes,No
2464,Southern Province,Nyanza,Rural,91.44994426,339828.6875,Female,10,"Yes,and residing in the household",Yes but residing in another household,Yes,Primary 1,Primary 1,Public,No problem,,Father,,,,No,,No,No
2465,Southern Province,Nyanza,Rural,91.44994426,339828.6875,Male,8,"Yes,and residing in the household",Yes but residing in another household,Yes,Primary 1,Primary 1,Public,No problem,,Father,,,,,,,No
2466,Southern Province,Nyanza,Rural,91.44994426,339828.6875,Female,6,"Yes,and residing in the household",Yes but residing in another household,No,,,,,,,,,,,,,No
2470,Southern Province,Nyanza,Rural,91.44994426,250629.6406,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Free Subsidized,No problem,,Both parents,4,Holidays,,No,,No,No
2471,Southern Province,Nyanza,Rural,91.44994426,250629.6406,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Both parents,4,Holidays,,,,,No
2476,Southern Province,Nyanza,Rural,91.44994426,231776.1563,Male,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",,,,,,,Lack of interest,Yes,Yes,Yes,No
2477,Southern Province,Nyanza,Rural,91.44994426,231776.1563,Female,13,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 5,"Primary 6,7,8",Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
2480,Southern Province,Nyanza,Rural,91.44994426,170075.5,Female,6,"Yes,but residing in onother household",Yes but residing in another household,Yes,Pre-primary,Pre-primary,Free Subsidized,No problem,,Other relatives,5,Holidays,,,,,No
2483,Southern Province,Nyanza,Rural,91.44994426,88529.95313,Female,10,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 2,Free Subsidized,No problem,,Both parents,5,Holidays,,No,,No,No
2484,Southern Province,Nyanza,Rural,91.44994426,88529.95313,Female,8,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Primary 1,Free Subsidized,No problem,,Both parents,5,Holidays,,,,,No
2485,Southern Province,Nyanza,Rural,91.44994426,88529.95313,Male,7,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Not in class,Free Subsidized,No problem,,Both parents,5,Holidays,,,,,No
2488,Southern Province,Nyanza,Rural,91.44994426,119853.9844,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Both parents,,,,No,,No,No
2489,Southern Province,Nyanza,Rural,91.44994426,119853.9844,Male,8,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
2494,Southern Province,Nyanza,Rural,91.44994426,37554.05469,Female,9,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 1,Primary 2,Free Subsidized,No problem,,Other relatives,,,,,,,No
2499,Southern Province,Nyanza,Rural,91.44994426,278092.75,Male,7,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Not in class,Public,No problem,,Father,,,,,,,No
2507,Southern Province,Nyanza,Rural,109.6156935,493455.875,Female,17,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of family support,Yes,Yes,Yes,Yes
2508,Southern Province,Nyanza,Rural,109.6156935,493455.875,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
2509,Southern Province,Nyanza,Rural,109.6156935,493455.875,Male,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
2517,Southern Province,Nyanza,Rural,109.6156935,183959.3281,Female,15,"Yes,but residing in onother household",Yes and resident in household,No,Primary 5,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
2518,Southern Province,Nyanza,Rural,109.6156935,183959.3281,Female,10,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 1,Primary 2,Public,No problem,,Mother,,,,No,,No,No
2525,Southern Province,Nyanza,Rural,109.6156935,204555.125,Male,6,"Yes,and residing in the household",Yes and resident in household,Yes,,,,,,,,,,,,,No
2530,Southern Province,Nyanza,Rural,109.6156935,501148.5938,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Free Subsidized,No problem,,Both parents,,,,Yes,No,No,No
2531,Southern Province,Nyanza,Rural,109.6156935,501148.5938,Female,9,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 2,Free Subsidized,No problem,,Both parents,,,,,,,No
2532,Southern Province,Nyanza,Rural,109.6156935,501148.5938,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
2558,Southern Province,Nyanza,Rural,91.96428571,386199.3438,Female,13,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 3,Primary 4,Public,No problem,Missing,,5,Holidays,,Yes,Yes,Yes,No
2565,Southern Province,Nyanza,Rural,91.96428571,182662.2188,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,5,Holidays,,,,,No
2566,Southern Province,Nyanza,Rural,91.96428571,182662.2188,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
2569,Southern Province,Nyanza,Rural,91.96428571,251277.0625,Female,13,"Yes,but residing in onother household",Do not know,No,Primary 3,Primary 3,Public,No problem,,Other household members,5,Holidays,,Yes,Yes,Yes,No
2571,Southern Province,Nyanza,Rural,91.96428571,226569.5156,Male,12,"Yes,but residing in onother household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,5,Holidays,,Yes,Yes,Yes,No
2572,Southern Province,Nyanza,Rural,91.96428571,226569.5156,Female,9,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,5,Holidays,,,,,No
2573,Southern Province,Nyanza,Rural,91.96428571,226569.5156,Male,6,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
2577,Southern Province,Nyanza,Rural,91.96428571,229504.2344,Female,8,"Yes,but residing in onother household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Mother,5,Holidays,,,,,No
2578,Southern Province,Nyanza,Rural,91.96428571,229504.2344,Female,7,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,Mother,,,,,,,No
2588,Southern Province,Nyanza,Rural,91.96428571,282366.6875,Male,14,No,Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,5,Holidays,,Yes,Yes,Yes,No
2590,Southern Province,Nyanza,Rural,61.30952381,173879.3906,Male,16,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Not in class,,,,,,,Lack of interest,No,,No,No
2591,Southern Province,Nyanza,Rural,61.30952381,173879.3906,Female,15,"Yes,but residing in onother household",Yes but residing in another household,Yes,Primary 4,Primary 4,Public,No problem,,,,,,Yes,Yes,Yes,No
2593,Southern Province,Nyanza,Rural,61.30952381,300343.4375,Male,13,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 3,Primary 4,Public,No problem,,,,,,Yes,Yes,Yes,No
2600,Southern Province,Nyanza,Rural,61.30952381,361040.9375,Female,14,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,,,,No,,Yes,No
2601,Southern Province,Nyanza,Rural,61.30952381,361040.9375,Female,10,No,Yes and resident in household,Yes,Primary 1,Primary 1,Public,No problem,,Mother,3,Poor health,,No,,No,No
2604,Southern Province,Nyanza,Rural,61.30952381,363281.1563,Male,13,No,Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,,,,Yes,Yes,No,No
2605,Southern Province,Nyanza,Rural,61.30952381,363281.1563,Female,11,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 2,Public,No problem,,Other relatives,1,Poor health,,Yes,Yes,No,No
2609,Southern Province,Nyanza,Rural,61.30952381,255450.1719,Female,13,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 5,"Primary 6,7,8",Free Subsidized,No problem,,Father,1,Holidays,,Yes,Yes,Yes,No
2614,Southern Province,Nyanza,Rural,61.30952381,495960.875,Female,12,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 3,Free Subsidized,No problem,,Other household members,2,Holidays,,No,,No,No
2617,Southern Province,Nyanza,Rural,61.30952381,136880.125,Female,13,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 4,Primary 5,Free Subsidized,No problem,,Other household members,2,Holidays,,Yes,No,Yes,No
2618,Southern Province,Nyanza,Rural,61.30952381,136880.125,Male,11,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 1,Primary 1,,,,,,,Lack of interest,No,,No,No
2619,Southern Province,Nyanza,Rural,61.30952381,136880.125,Female,9,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Other household members,3,Holidays,,,,,No
2631,Southern Province,Gisagara,Rural,101.3554833,111740.4844,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
2632,Southern Province,Gisagara,Rural,101.3554833,111740.4844,Male,8,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 1,Free Subsidized,No problem,,Both parents,3,Poor health,,,,,No
2633,Southern Province,Gisagara,Rural,101.3554833,111740.4844,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
2638,Southern Province,Gisagara,Rural,101.3554833,192535.7031,Male,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Both parents,1,Family circumstances,,No,,No,No
2639,Southern Province,Gisagara,Rural,101.3554833,192535.7031,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
2640,Southern Province,Gisagara,Rural,101.3554833,192535.7031,Male,7,"Yes,and residing in the household",Yes and resident in household,Yes,,,,,,,,,,,,,No
2646,Southern Province,Gisagara,Rural,101.3554833,178299.4375,Male,18,"Yes,and residing in the household",Yes and resident in household,No,"Primary 6,7,8",Secondary 1,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
2647,Southern Province,Gisagara,Rural,101.3554833,178299.4375,Male,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Free Subsidized,No problem,,Both parents,,,,Yes,No,Yes,No
2650,Southern Province,Gisagara,Rural,101.3554833,120240.1875,Male,18,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 5,"Primary 6,7,8",Free Subsidized,Don't know,,Both parents,1,Family circumstances,,Yes,Yes,Yes,No
2651,Southern Province,Gisagara,Rural,101.3554833,120240.1875,Female,14,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 2,Primary 3,Free Subsidized,Don't know,,Both parents,1,Family circumstances,,Yes,No,Yes,No
2652,Southern Province,Gisagara,Rural,101.3554833,120240.1875,Male,10,"Yes,and residing in the household",Yes and resident in household,Yes,,,,,,,,,,No,,No,No
2653,Southern Province,Gisagara,Rural,101.3554833,120240.1875,Male,8,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Not in class,Free Subsidized,Don't know,,Both parents,,,,,,,No
2657,Southern Province,Gisagara,Rural,101.3554833,174743.7031,Female,17,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 3,Primary 4,Free Subsidized,No problem,,Mother,1,Family circumstances,,Yes,Yes,Yes,No
2658,Southern Province,Gisagara,Rural,101.3554833,174743.7031,Female,12,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Mother,,,,No,,No,No
2659,Southern Province,Gisagara,Rural,101.3554833,174743.7031,Female,6,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Not in class,Free Subsidized,No problem,,Mother,,,,,,,No
2665,Southern Province,Gisagara,Rural,101.3554833,242264.6563,Male,6,"Yes,and residing in the household",Yes and resident in household,Yes,,,,,,Both parents,,,,,,,No
2670,Southern Province,Gisagara,Rural,101.3554833,184846.4688,Male,18,"Yes,and residing in the household",Yes but residing in another household,Yes,Secondary 1,Secondary 2,Free Subsidized,No problem,,Father,,,,Yes,Yes,Yes,No
2671,Southern Province,Gisagara,Rural,101.3554833,184846.4688,Male,16,"Yes,but residing in onother household",Yes but residing in another household,Yes,,,,,,,,,,No,,No,No
2676,Southern Province,Gisagara,Rural,101.3554833,68589.36719,Male,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 4,Free Subsidized,No problem,,Both parents,1,Family circumstances,,Yes,Yes,Yes,No
2680,Southern Province,Gisagara,Rural,101.3554833,169910.9531,Female,6,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
2683,Southern Province,Gisagara,Rural,118.6098901,172660.7031,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,No,,No,No
2684,Southern Province,Gisagara,Rural,118.6098901,172660.7031,Female,7,"Yes,and residing in the household",Yes and resident in household,Yes,Pre-primary,Primary 1,Public,No problem,,Both parents,,,,,,,No
2695,Southern Province,Gisagara,Rural,118.6098901,312352.9375,Female,13,"Yes,but residing in onother household",Yes but residing in another household,Yes,Primary 2,Primary 3,Public,No problem,,Other household members,,,,Yes,Yes,Yes,No
2699,Southern Province,Gisagara,Rural,118.6098901,324072.4063,Female,12,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 3,Primary 4,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
2700,Southern Province,Gisagara,Rural,118.6098901,324072.4063,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Mother,,,,No,,No,No
2701,Southern Province,Gisagara,Rural,118.6098901,324072.4063,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Mother,,,,,,,No
2704,Southern Province,Gisagara,Rural,118.6098901,113183.5313,Male,13,Dont know,Yes and resident in household,No,,,,,,,,,,No,,No,Yes
2705,Southern Province,Gisagara,Rural,118.6098901,113183.5313,Male,9,Dont know,Yes and resident in household,No,,,,,,,,,,,,,No
2706,Southern Province,Gisagara,Rural,118.6098901,113183.5313,Female,6,Dont know,Yes and resident in household,Yes,,,,,,,,,,,,,No
2710,Southern Province,Gisagara,Rural,118.6098901,219762.7344,Male,13,No,Yes and resident in household,Yes,Not in class,Not in class,,,,,,,Health,No,,No,No
2715,Southern Province,Gisagara,Rural,118.6098901,539262.8125,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,,,,No
2720,Southern Province,Gisagara,Rural,118.6098901,316939.8438,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,,Both parents,,,,No,,No,No
2721,Southern Province,Gisagara,Rural,118.6098901,316939.8438,Male,8,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 2,Primary 3,Public,No problem,,Both parents,,,,,,,No
2722,Southern Province,Gisagara,Rural,118.6098901,316939.8438,Male,7,"Yes,and residing in the household",Yes and resident in household,Yes,,,,,,,,,,,,,No
2728,Southern Province,Gisagara,Rural,118.6098901,195859.4844,Female,12,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 2,Primary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
2729,Southern Province,Gisagara,Rural,118.6098901,195859.4844,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
2730,Southern Province,Gisagara,Rural,118.6098901,195859.4844,Female,7,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
2738,Southern Province,Gisagara,Rural,73.3463877,151520.2031,Female,9,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 2,Free Subsidized,No problem,,Both parents,,,,,,,No
2739,Southern Province,Gisagara,Rural,73.3463877,151520.2031,Male,8,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
2747,Southern Province,Gisagara,Rural,73.3463877,263344.0938,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
2748,Southern Province,Gisagara,Rural,73.3463877,263344.0938,Female,6,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Free Subsidized,No problem,,Both parents,,,,,,,No
2751,Southern Province,Gisagara,Rural,73.3463877,118286.8516,Female,15,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 5,Not in class,,,,,,,Lack of family support,Yes,Yes,Yes,Yes
2752,Southern Province,Gisagara,Rural,73.3463877,118286.8516,Female,9,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Primary 1,Free Subsidized,No problem,,Mother,,,,,,,No
2759,Southern Province,Gisagara,Rural,73.3463877,135902.9688,Male,16,"Yes,but residing in onother household",Yes but residing in another household,No,"Primary 6,7,8",Secondary 1,Public,No problem,,Other relatives,,,,Yes,Yes,Yes,No
2763,Southern Province,Gisagara,Rural,73.3463877,185919.9063,Female,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
2764,Southern Province,Gisagara,Rural,73.3463877,185919.9063,Male,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
2765,Southern Province,Gisagara,Rural,73.3463877,185919.9063,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Free Subsidized,No problem,,Both parents,,,,No,,No,No
2766,Southern Province,Gisagara,Rural,73.3463877,185919.9063,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
2767,Southern Province,Gisagara,Rural,73.3463877,185919.9063,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
2776,Southern Province,Gisagara,Rural,73.3463877,170696.7656,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Secondary 2,Secondary 3,Public,No problem,,Both parents,1,Financial Reasons,,Yes,Yes,Yes,No
2777,Southern Province,Gisagara,Rural,73.3463877,170696.7656,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Free Subsidized,No problem,,Both parents,1,Financial Reasons,,Yes,Yes,Yes,No
2778,Southern Province,Gisagara,Rural,73.3463877,170696.7656,Male,9,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 2,Free Subsidized,No problem,,Both parents,5,Poor health,,,,,No
2782,Southern Province,Gisagara,Rural,73.3463877,46353.27344,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Free Subsidized,No problem,,Both parents,,,,,,,No
2786,Southern Province,Gisagara,Rural,73.3463877,250752.3125,Female,18,"Yes,and residing in the household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,No problem,,Both parents,5,Dropped out,Lack of interest,Yes,Yes,Yes,No
2787,Southern Province,Gisagara,Rural,73.3463877,250752.3125,Female,16,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
2788,Southern Province,Gisagara,Rural,73.3463877,250752.3125,Female,14,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 4,Primary 5,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
